catalog_id,merchant,price,currency,in_stock,timestamp
prod_48ccd6ce566a4aacaa907392fa7e3cad,adidas,60,USD,FALSE,4/15/2025 10:59
prod_48ccd6ce566a4aacaa907392fa7e3cad,adidas,80,USD,FALSE,4/14/2025 15:41
prod_df473782fa7b486fbbc3340e2417bacc,adidas,80,USD,FALSE,4/14/2025 15:41
prod_cec5479bc119425a81831fa7733c8f29,Everlane,45,USD,FALSE,4/15/2025 10:59
prod_cec5479bc119425a81831fa7733c8f29,Everlane,45,USD,FALSE,4/14/2025 15:41
prod_53fc1d59e9344bed9c367d4bc448cbde,Everlane,11,USD,FALSE,4/15/2025 10:59
prod_53fc1d59e9344bed9c367d4bc448cbde,Everlane,11,USD,FALSE,4/14/2025 15:41
prod_b784e6b6a3d54700aeb4920c0abb5e40,Editorialist,30,USD,FALSE,4/15/2025 10:59
prod_99fc70d3ffc24b1fb740eadd1ea43c0b,eBay,20,USD,FALSE,4/15/2025 10:59
prod_99fc70d3ffc24b1fb740eadd1ea43c0b,eBay,20,USD,FALSE,4/14/2025 15:41
prod_0a8558f3f55a43079c6e46e256c55f8e,Everlane,45,USD,FALSE,4/15/2025 10:59
prod_47a90dafaa1f45efbd52f7d5a2d98cee,Poshmark,32,USD,FALSE,4/15/2025 10:59
prod_47a90dafaa1f45efbd52f7d5a2d98cee,Poshmark,32,USD,FALSE,4/14/2025 15:41
prod_8b218348339e4ae9ae9d5b27bb376b85,Editorialist,30,USD,FALSE,4/15/2025 10:59
prod_128e3e59796845509d391069e7242eda,Everlane,45,USD,FALSE,4/15/2025 10:59
prod_df2d884231ce4794b98dd6be2ca4b897,Frontgate,152.15,USD,FALSE,4/15/2025 10:59
prod_fecfa16c7e9d4cffb65f056faadeaf3d,Frontgate,699.97,USD,FALSE,4/15/2025 10:59
prod_411ae9669429474baebff24759dac18e,Frontgate,764.15,USD,FALSE,4/15/2025 10:59
prod_411ae9669429474baebff24759dac18e,Frontgate,764.15,USD,FALSE,4/14/2025 15:41
prod_bc5f2609d61a4f49b5a443b5dc9e47c4,Frontgate,899.1,USD,FALSE,4/15/2025 10:59
prod_bc5f2609d61a4f49b5a443b5dc9e47c4,Frontgate,899.1,USD,FALSE,4/14/2025 15:41
prod_91e3264382eb4adaa1ab3fc6a77f9459,Bonobos,99,USD,TRUE,4/15/2025 10:59
prod_91e3264382eb4adaa1ab3fc6a77f9459,Bonobos,99,USD,TRUE,4/14/2025 15:41
prod_5aa817e2b7a14b219bbf113b05ffa48b,Bonobos,49,USD,TRUE,4/15/2025 10:59
prod_5aa817e2b7a14b219bbf113b05ffa48b,Bonobos,49,USD,TRUE,4/14/2025 15:41
prod_f3c67134be014f3c937beb89d8faab29,Bonobos,99,USD,TRUE,4/15/2025 10:59
prod_f3c84f36e05744a680387949c5fa5f2d,Bonobos,69.3,USD,TRUE,4/15/2025 10:59
prod_f3c84f36e05744a680387949c5fa5f2d,Bonobos,99,USD,TRUE,4/14/2025 15:41
prod_b3f3175c1afe43bca6650ba83ca752d2,Bonobos,41.3,USD,TRUE,4/15/2025 10:59
prod_b749a1f871de41739c5efdc2b8020c38,Bonobos,99,USD,TRUE,4/15/2025 10:59
prod_40a457e100fa47d980f2c0ca023746e0,Bonobos,99,USD,TRUE,4/14/2025 15:41
prod_70fa57c3d46b4b26b698ca8e08b7f0f1,Bonobos,83.3,USD,TRUE,4/15/2025 10:59
prod_88cc3308013042fdae19e6637a5ba1ea,Bonobos,99,USD,TRUE,4/15/2025 10:59
prod_88cc3308013042fdae19e6637a5ba1ea,Bonobos,99,USD,TRUE,4/14/2025 15:41
prod_e83343a726bc4f9ba9dabb17ec26eba6,Bonobos,62.3,USD,TRUE,4/15/2025 10:59
prod_e83343a726bc4f9ba9dabb17ec26eba6,Bonobos,89,USD,TRUE,4/14/2025 15:41
prod_2a43260d96fe446b8da639d74402df00,Bonobos,119,USD,TRUE,4/15/2025 10:59
prod_2a43260d96fe446b8da639d74402df00,Bonobos,119,USD,TRUE,4/14/2025 15:41
prod_892b02e2098c40828c74ffe3fcafc21b,Bonobos,99,USD,TRUE,4/15/2025 10:59
prod_892b02e2098c40828c74ffe3fcafc21b,Bonobos,99,USD,TRUE,4/14/2025 15:41
prod_8065856a82334c278fb2467cdd38d5d9,Bonobos,62.3,USD,TRUE,4/15/2025 10:59
prod_8065856a82334c278fb2467cdd38d5d9,Bonobos,89,USD,TRUE,4/14/2025 15:41
prod_a87b39d226fb496788c987d422ab0579,Bonobos,34.3,USD,TRUE,4/15/2025 10:59
prod_a87b39d226fb496788c987d422ab0579,Bonobos,49,USD,TRUE,4/14/2025 15:41
prod_d3d9283503ef44d5b033e5d58ba48ae5,Bonobos,55.3,USD,TRUE,4/15/2025 10:59
prod_5115295d1c8c4b8e8c1c167f821b55c2,Bonobos,149,USD,TRUE,4/15/2025 10:59
prod_38993754a5af4b9d815433b2cdd2779b,Outerknown,168,USD,TRUE,4/15/2025 10:59
prod_360e7bb94bfb4e34885370493c4a9ef5,eBay,118,USD,TRUE,4/15/2025 10:59
prod_360e7bb94bfb4e34885370493c4a9ef5,eBay,118,USD,TRUE,4/14/2025 15:41
prod_c4f02048e55b4913aa886ebd6520b484,The RealReal,21,USD,FALSE,4/15/2025 10:59
prod_44b729d417f34c6aafb22e66f47c7da7,Poshmark,98,USD,FALSE,4/14/2025 15:41
prod_973e5407b14d4bee9bf96bda49112158,Outerknown,78,USD,TRUE,4/15/2025 10:59
prod_973e5407b14d4bee9bf96bda49112158,Outerknown,78,USD,TRUE,4/14/2025 15:41
prod_7842f49e92a348759484cbf711e30eee,Outerknown,48,USD,TRUE,4/15/2025 10:59
prod_7842f49e92a348759484cbf711e30eee,Outerknown,48,USD,TRUE,4/14/2025 15:41
prod_126d1231da3a45afa5abe975aa1c84b1,Outerknown,81,USD,TRUE,4/15/2025 10:59
prod_126d1231da3a45afa5abe975aa1c84b1,Outerknown,81,USD,TRUE,4/14/2025 15:41
prod_856dd8a5dfe742429d59d50bcaeb3e18,lululemon,99,USD,TRUE,4/15/2025 10:59
prod_4fc0c23c9d2142ceb308cc3ef2e0d8d8,lululemon,69,USD,TRUE,4/15/2025 10:59
prod_3807c9bfb297490eafbb036c0baec486,lululemon,74,USD,TRUE,4/15/2025 10:59
prod_3cf986452a7d4364a472e9ff3d19372c,lululemon,89,USD,TRUE,4/15/2025 10:59
prod_2c8a4e3196824194a6daa2242b101bc8,lululemon,69,USD,TRUE,4/15/2025 10:59
prod_2c8a4e3196824194a6daa2242b101bc8,lululemon,69,USD,TRUE,4/14/2025 15:41
prod_408729fca7134bd4beed5a24f5af6c4a,lululemon,99,USD,TRUE,4/15/2025 10:59
prod_5ed7fe69d5564d0da0d1067d3db9ad5f,lululemon,98,USD,TRUE,4/15/2025 10:59
prod_c09441d27b284774a3dd7660e519a199,lululemon,89,USD,TRUE,4/15/2025 10:59
prod_df154aae896b4cdda79cab7748c5a664,lululemon,94,USD,TRUE,4/15/2025 10:59
prod_66c73673429e440eb39367b88432de2b,lululemon,98,USD,TRUE,4/15/2025 10:59
prod_07033c260e854f649fc4b9dec83c27a9,lululemon,118,USD,TRUE,4/15/2025 10:59
prod_06ba66ca7e2949afb1a315a46543c85e,lululemon,118,USD,TRUE,4/15/2025 10:59
prod_b8fb041c5c8941b9bd17fcb425193d59,lululemon,74,USD,TRUE,4/15/2025 10:59
prod_18397bf11aab478ba24967300cdbc54e,lululemon,128,USD,TRUE,4/15/2025 10:59
prod_18397bf11aab478ba24967300cdbc54e,lululemon,128,USD,TRUE,4/14/2025 15:41
prod_bb4cd4f549f240a6bf1a895a398e15dc,lululemon,128,USD,TRUE,4/15/2025 10:59
prod_bb4cd4f549f240a6bf1a895a398e15dc,lululemon,128,USD,TRUE,4/14/2025 15:41
prod_6bf1cb3e6238455bbf9c567972d5b248,eBay - romeoblue26,10.31,USD,FALSE,4/15/2025 10:59
prod_6bf1cb3e6238455bbf9c567972d5b248,eBay - romeoblue26,10.31,USD,FALSE,4/14/2025 15:41
prod_93445a4bd98341f0a0eff04b14957adf,eBay - sleepygrass4,31.99,USD,TRUE,4/15/2025 10:59
prod_93445a4bd98341f0a0eff04b14957adf,eBay - sleepygrass4,31.99,USD,TRUE,4/14/2025 15:41
prod_ba429bc2451b451c8c5ac1feea7ff4b0,Poshmark,28,USD,FALSE,4/15/2025 10:59
prod_ba429bc2451b451c8c5ac1feea7ff4b0,Poshmark,28,USD,FALSE,4/14/2025 15:41
prod_a96b04b7d6e3453dbdb52d6532ba7ad5,eBay - cthrifts313,13.9,USD,FALSE,4/15/2025 10:59
prod_a96b04b7d6e3453dbdb52d6532ba7ad5,eBay - cthrifts313,13.9,USD,FALSE,4/14/2025 15:41
prod_940a683ff1b54a488615a8c23aab2fb5,Jaxxon,149,USD,TRUE,4/15/2025 10:59
